HouseholdID	Eth.Iso	Eth.Num
385	SLZ-WGO	143
386	SLZ	142
387	BHW	23
388	SLZ-WUY	144
389	SLZ	142
390	BHW	23
391	BHW	23
392	BHW	23
393	BHW	23
394	SLZ	142
395	SLZ-WUY	144
396	SLZ-WUY	144
397	ABS	1
398	SLZ	142
399	BHW	23
400	SEU	138
401	SLZ	142
402	SLZ	142
403	BUG	37
404	SLZ-WGO	143
405	BHW	23
406	SLZ	142
407	SLZ-WUY	144
408	SLZ	142
409	BHW	23
410	BHW	23
411	SLZ	142
412	SLZ	142
413	SLZ	142
414	BHW	23
415	BHW	23
416	BHW	23
417	BHW	23
418	BHW	23
419	BHW	23
420	BHW	23
421	BHW	23
422	CIA	43
423	BHW	23
424	BHW	23
425	BHW	23
426	BHW	23
427	BHW	23
428	BHW	23
429	TLB	157
430	BHW	23
431	BHW	23
432	BHW	23
433	BHW	23
434	BHW	23
435	BHW	23
436	BHW	23
437	BHW	23
438	TLB	157
439	BHW	23
440	SZN	151
441	BHW	23
442	BHW	23
443	BHW	23
444	BHW	23
445	BHW	23
446	BHW	23
447	BHW	23
448	BHW	23
449	BHW	23
450	BHW	23
451	BHW	23
452	BHW	23
453	BHW	23
454	BHW	23
455	BHW	23
456	BHW	23
457	BHW	23
458	BHW	23
459	BHW	23
460	BHW	23
461	BHW	23
462	BHW	23
463	BHW	23
464	BHW	23
465	BHW	23
466	BHW	23
467	BHW	23
468	BHW	23
469	TFT	156
470	BHW	23
471	BHW	23
472	BHW	23
473	BHW	23
474	BHW	23
475	BHW	23
476	BHW	23
477	BHW	23
478	BHW	23
479	BHW	23
480	BHW	23
481	BHW	23
482	BHW	23
483	BHW	23
484	BHW	23
485	BHW	23
486	BHW	23
487	BHW	23
488	BHW	23
489	BHW	23
490	BHW	23
491	BHW	23
492	BHW	23
493	BHW	23
494	BHW	23
495	BHW	23
496	KPS	80
497	BHW	23
498	BHW	23
499	BHW	23
500	TFT	156
501	BHW	23
502	ABS	1
503	ABS	1
504	BHW	23
505	BHW	23
506	BHW	23
507	ABS	1
508	BHW	23
509	BHW	23
510	BHW	23
511	BHW	23
512	BHW	23
513	BHW	23
514	BHW	23
515	BHW	23
516	BHW	23
517	BHW	23
518	BHW	23
519	TLB	157
520	BHW	23
521	BHW	23
522	BHW	23
523	BHW	23
524	BHW	23
525	BHW	23
526	BHW	23
527	BHW	23
528	BHW	23
529	BHW	23
530	BHW	23
531	BHW	23
532	BHW	23
533	BHW	23
534	NTT	124
535	BHW	23
536	BHW	23
537	BHW	23
538	BHW	23
539	BHW	23
540	BHW	23
541	BHW	23
542	BHW	23
543	BHW	23
544	ABS	1
545	BHW	23
546	BHW	23
547	BHW	23
548	BHW	23
549	BHW	23
550	BHW	23
551	BHW	23
552	BHW	23
553	TLB	157
554	BHW	23
555	ABS	1
556	BHW	23
557	BHW	23
558	BHW	23
559	BHW	23
560	BHW	23
561	BHW	23
562	JAV	66
563	BHW	23
564	BHW	23
565	BHW	23
566	BHW	23
567	BHW	23
568	BHW	23
569	BHW	23
570	BHW	23
571	TFT	156
572	BHW	23
573	BHW	23
574	ADR	5
575	BHW	23
576	TLB	157
577	BHW	23
578	BHC	20
579	AOZ	11
580	SUL	147
581	BHW	23
582	BHW	23
583	BHW	23
584	BHW	23
585	TTI	162
586	BHW	23
587	BHW	23
588	BHW	23
589	BHW	23
590	BHW	23
591	BHW	23
592	BHW	23
593	BHW	23
594	BHW	23
595	BHW	23
596	BHW	23
597	BHW	23
598	ABS	1
599	BHW	23
600	BHW	23
601	BHW	23
602	BHW	23
603	BHW	23
604	NTB	123
605	BHW	23
606	LEW	88
607	BHW	23
608	BHW	23
609	BHW	23
610	BHW	23
611	BHW	23
612	BHW	23
613	ABS	1
614	BHW	23
615	BHW	23
616	BHW	23
617	NTT	124
618	NA	116
619	BHW	23
620	JAV	66
621	BHW	23
622	BHW	23
623	BHW	23
624	BHW	23
625	BHW	23
626	BHW	23
627	FOR	49
628	BHW	23
629	BHW	23
630	BHW	23
631	BHW	23
632	BHP	21
633	TFT	156
634	BHW	23
635	BHW	23
636	BHW	23
637	BHW	23
638	BHW	23
639	BHW	23
640	BHW	23
641	FOR	49
642	BHW	23
643	BHW	23
644	BHW	23
645	BHW	23
646	BHW	23
647	BHW	23
648	TLB	157
649	BHW	23
650	BHW	23
651	BHW	23
652	BHW	23
653	BHW	23
654	BHW	23
655	BHW	23
656	BHW	23
657	BHW	23
658	TFT	156
659	BHW	23
660	BHW	23
661	BHW	23
662	BHW	23
663	BHW	23
664	BHW	23
665	XMT	180
666	XMT	180
667	XMT	180
668	XMT	180
669	XMT	180
670	WGO	171
671	XMT	180
672	XMT	180
673	XMT	180
674	XMT	180
675	XMT	180
676	XMT	180
677	XMT	180
678	KJC	77
679	GES	52
680	TFT	156
681	MIS	102
682	TFT	156
683	MIS	102
684	CIA	43
685	CIA	43
686	MIS	102
687	BHW	23
688	GES	52
689	TFT	156
690	GES	52
691	FOR	49
692	XOD	181
693	SUM	148
694	MIS	102
695	MIS	102
696	GES	52
697	MIS	102
698	MIS	102
699	MAL	92
700	MIS	102
701	GES	52
702	TTI	162
703	MIS	102
704	MIS	102
