HouseholdID	MPAID	SettlementID	InterviewYear	YearsResident	TimeMarket	PaternalEthnicity	Religion	PrimaryLivelihood	SecondaryLivelihood	TertiaryLivelihood	FreqFish	FreqSaleFish	PercentIncomeFish	FreqEatFish	PercentProteinFish	MajorFishTechnique	EconomicStatusTrend	AssetCar	AssetTruck	AssetCarTruck	AssetBicycle	AssetMotorcycle	AssetBoatNoMotor	AssetBoatOutboard	AssetBoatInboard	AssetLandlinePhone	AssetCellPhone	AssetPhoneCombined	AssetTV	AssetRadio	AssetStereo	AssetCD	AssetDVD	AssetEntertain	AssetSatellite	AssetGenerator	CookingFuel	FSNotEnough	FSDidNotLast	FSBalancedDiet	FSAdultSkip	FSFreqAdultSkip	FSEatLess	FSHungry	FSChildPortion	FSLowCostFood	FSChildSkip	FSFreqChildSkip	FSNoMealChild	RightsAccess	RightsHarvest	RightsManage	RightsExclude	RightsTransfer	SocialConflict	MarineGroup	OtherGroup	PlaceHappy	PlaceFavourite	PlaceMiss	PlaceBest	PlaceFishHere	PlaceBeMyself	Baseline_t2_pairs
4922	3	114	2014	60	0.02	Tepa	1	1	998	998	994	994	994	994	994	994	4	0	0		0	0	0	0	0	1	0		0	0	0	0	0		0	0	3	3	3	2	1	3	0	0	0	3	0	994	3	0	0	0	0	0	3	0	1	4	4	4	4	998	4	0
4921	3	114	2014	75	0.03	Oapi	1	1	3	998	3	3	4	4	2	1	3	0	0		0	0	0	0	0	1	0		0	0	0	0	0		0	0	3	2	1	3	1	1	0	0	0	2	0	994	3	1	1	1	1	0	3	0	1	3	4	4	4	4	4	0
4920	3	114	2014	40	0.08	Mairasi (suku asli Kaimana)	1	1	3	998	1	1	1	4	4	1	2	0	0		0	0	0	0	0	1	0		0	0	0	0	0		0	0	3	1	2	1	1	3	1	0	0	2	0	994	3	1	1	1	0	0	2	1	1	4	4	4	4	4	4	0
4919	3	114	2014	16	0.01	Buton	2	3	1	998	3	3	4	4	4	2	3	0	0		0	0	1	1	0	0	0		0	0	0	0	0		0	0	3	3	3	2	0	994	0	0	0	3	0	994	3	1	1	0	0	0	3	0	0	4	3	4	4	4	4	0
4918	3	114	2014	52	0.03	Kamoro	1	3	1	998	4	4	4	5	3	1	3	0	0		0	0	0	1	0	1	0		0	0	0	0	0		0	0	3	3	3	1	0	994	0	0	0	3	0	994	3	1	1	0	0	0	3	0	1	4	4	4	4	4	4	0
4917	3	114	2014	52	0.02	Kamoro	1	3	1	998	4	3	4	4	3	2	4	0	0		0	0	1	0	0	3	0		1	0	2	2	0		1	0	3	2	3	3	1	3	0	0	1	2	0	994	3	1	1	1	1	1	3	0	1	4	4	4	4	4	4	0
4916	3	114	2014	6	0.017	Yaraya (kamoro)	1	2	1	998	994	994	994	994	994	994	4	0	0		0	0	1	0	0	0	0		0	0	0	0	0		0	0	3	1	3	3	1	3	1	0	1	2	1	3	3	1	0	1	0	0	3	1	1	3	3	4	3	3	3	0
4915	3	114	2014	45	0.01	Kamoro	1	3	1	998	4	4	4	4	4	1	3	0	0		0	0	1	1	0	6	0		1	0	1	1	1		0	0	3	3	3	3	0	994	0	0	0	2	0	994	1	1	1	0	1	0	3	0	1	3	4	4	3	4	4	0
4914	3	114	2014	52	0.05	Komoro	1	1	3	998	3	3	3	3	3	1	3	0	0		0	0	0	1	0	2	0		1	0	4	1	0		0	1	3	2	3	2	0	994	0	0	0	3	0	994	3	1	1	0	0	0	3	0	1	3	4	5	4	4	4	0
4913	3	114	2014	63	0.05	Kamoro	1	1	3	2	2	2	2	2	2	1	3	0	0		0	0	0	0	0	1	0		0	0	0	0	0		0	0	3	1	2	1	1	2	1	1	1	1	0	994	3	1	0	1	1	0	3	0	0	4	4	4	4	4	4	0
4912	3	114	2014	8	0.08	Key	1	3	7	7	3	3	4	4	2	1	4	0	0		0	1	0	1	0	5	0		1	0	1	0	1		0	0	3	2	1	2	0	994	0	0	0	3	0	994	3	1	0	0	0	0	3	0	1	5	5	5	5	998	3	0
4911	3	114	2014	52	1	Kamoro	1	1	3	2	3	3	4	2	2	2	3	0	0		0	0	0	1	0	1	0		2	0	2	2	0		0	0	3	2	3	1	1	3	1	0	1	2	0	994	3	1	1	0	0	0	3	1	1	4	4	5	4	4	4	0
4910	3	114	2014	47	0.03	Kamoro	1	1	998	998	994	994	994	1	2	998	3	0	0		0	0	0	0	0	0	0		0	0	0	0	0		0	0	3	1	3	1	1	2	1	1	1	1	0	994	3	0	0	0	0	0	3	0	1	4	4	4	4	3	4	0
4909	3	114	2014	31	0.0003	Kamoro	1	1	2	3	4	3	4	5	4	2	1	0	0		0	0	1	0	0	0	0		0	0	0	0	0		0	0	3	2	3	3	1	1	1	0	1	2	0	994	3	1	1	1	0	0	4	0	0	4	4	3	3	3	3	0
4908	3	114	2014	12	0.02	Buton	2	3	1	7	3	3	4	5	4	1	3	0	0		0	0	0	0	0	2	0		1	1	6	1	1		1	1	3	2	3	3	1	1	1	0	0	3	0	994	3	1	1	0	0	0	3	1	1	3	3	4	4	3	3	0
4907	3	114	2014	52	0.01	Komaro (asli akahia)	1	7	3	1	5	4	3	4	4	1	3	0	0		0	0	0	1	0	0	0		1	0	4	1	0		0	0	3	2	1	1	1	3	1	1	1	1	1	1	3	1	0	0	0	0	2	0	0	4	4	4	4	4	4	0
4906	3	114	2014	32	0.02	Key kecil	1	3	1	2	4	5	4	4	4	1	2	0	0		0	0	1	1	0	1	0		1	0	1	1	0		0	0	3	1	2	1	1	3	1	1	0	2	0	994	3	1	1	1	0	0	2	0	1	4	4	5	4	4	4	0
4905	3	114	2014	25	0.02	Tepa (Luang)	1	3	7	1	5	5	4	5	4	996	2	0	0		0	0	0	2	0	5	0		2	0	3	1	0		1	1	2	2	3	2	0	994	0	0	0	3	0	994	3	1	1	0	0	0	3	0	0	4	4	4	4	5	5	0
4904	3	114	2014	44	0.03	Kamoro	1	1	3	998	3	3	4	4	4	4	3	0	0		0	0	0	0	1	0	0		0	0	2	1	1		0	0	3	1	2	2	0	994	1	0	0	1	0	994	3	1	1	0	0	0	3	0	1	4	5	5	5	2	5	0
4903	3	114	2014	997	0.05	Kamoro	1	1	3	998	1	1	1	1	1	998	4	0	0		0	0	0	0	0	0	0		0	0	0	0	0		0	0	3	1	1	3	1	2	1	0	998	1	0	994	3	1	1	0	0	0	3	0	0	4	4	4	4	4	4	0
4902	3	114	2014	47	0.02	Kambarau	1	1	3	998	2	2	4	4	2	1	2	0	0		0	0	1	0	0	0	0		0	0	0	0	0		0	0	3	3	1	2	0	994	0	0	0	2	0	994	3	1	1	1	0	0	3	0	1	4	4	4	4	4	4	0
4901	3	114	2014	40	0.01	Kamoro	1	3	1	998	4	4	4	4	4	1	2	0	0		0	0	0	1	0	0	0		0	0	0	0	0		0	0	3	3	2	1	1	1	1	1	1	1	1	1	3	0	0	1	1	0	1	0	0	4	4	4	4	4	4	0
4900	3	114	2014	44	0.03	Asli Kaimana	1	1	3	998	3	3	5	4	2	1	1	0	0		0	0	1	1	0	2	0		2	0	0	0	0		1	0	3	1	3	1	1	2	1	1	0	2	0	994	3	1	1	0	0	0	2	0	0	3	3	4	3	2	3	0
