"SettlementID","percent.drop"
5,5.71428571428571
21,7.14285714285714
32,5.55555555555556
39,2.85714285714286
40,34.2105263157895
41,27.2727272727273
42,3.7037037037037
49,2.08333333333333
56,3.63636363636364
58,1.08695652173913
78,2.77777777777778
79,1.85185185185185
80,1.69491525423729
81,23.0769230769231
82,18.8679245283019
85,7.69230769230769
86,2.4390243902439
87,2.63157894736842
88,5.88235294117647
89,26.3157894736842
90,8.69565217391304
92,1.8018018018018
93,40
94,48.9795918367347
95,10.5263157894737
