SettlementID	CountryID	MPAID	SettlementCode	SettlementName	Treatment	Mainland	District.Name	District.Code						
99	360	3	19	Tubirwasak	0	1	KARAS	9101051000						
100	360	3	20	Antalisa	0	1	KARAS	9101051000						
101	360	3	21	Malakuli	0	1	KARAS	9101051000						
102	360	5	22	Yeflo	0	1	MAYAMUK	9107121000						
103	360	5	23	Arar	0	1	MAYAMUK	9107121000						
104	360	2	104	Ambuni	1	1	KURI WAMESA	9103022000						
105	360	2	105	Dunsner	1	1	KURI WAMESA	9103022000						
106	360	2	106	Nanimori	1	1	KURI WAMESA	9103022000						
107	360	2	107	Rasiei	1	1	RASIEY	9103021000						
108	360	2	108	Sasirei	1	1	RASIEY	9103021000						
109	360	2	109	Torey	1	1	RASIEY	9103021000						
110	360	2	110	Iseren	1	0	RUMBERPON	9103070000						
111	360	2	111	Senebuay	1	0	RUMBERPON	9103070000						
112	360	2	112	Yembikiri I	1	0	RUMBERPON	9103070000						
113	360	3		Nusa Ulan	1	1	BURUWAY	9102010000						
114	360	3		Boiya	1	1	TELUK ETNA	9102040000						
115	360	3		Nariki	1	1	TELUK ETNA	9102040000						
